path,target,final_link2007,final_link2024,distance2007,distance2024
Sistine_Chapel_ceiling;Vatican_City;English_language;United_States;Cinema_of_the_United_States;New_York_City;World_War_II;United_States;Cinema_of_the_United_States;Drama;Television;Film;Art;Drawing;<;Andy_Warhol;Myocardial_infarction;Stroke;Brain;Vertebrate;<;<;Brain;<;<;<;<;Drawing;<;<;<;<;<;<;<;<;<;<;Crime;Police;Federal_Bureau_of_Investigation;World_Wide_Web;History_of_the_Internet;Television;Computer_and_video_games;Nintendo,Superman,Nintendo,Nintendo,0,0
Button;Ancient_Rome,17th_century,Ancient_Rome,Ancient_Rome,0,0
Metal;Alchemy;China,Samoa,China,China,0,0
Ariel_Sharon;Jew;Ancient_Greece;Arithmetic;Mathematics;Geometry;<;Cryptography;<,Fractal,Mathematics,,0,-1
Metal;Alchemy,Samoa,Alchemy,Alchemy,0,0
Pyramid;Ancient_Egypt;Nile;Egypt;Agriculture;Food;Protein,Bean,Protein,Protein,0,0
Victor_Hugo;Romanticism;Folklore;Culture,The_Cantos,Culture,Culture,0,0
Double-decker_bus;William_Gladstone,Henry_VI_of_England,William_Gladstone,William_Gladstone,0,0
Brain;Cell_%28biology%29,Telephone,Cell_%28biology%29,Cell_%28biology%29,0,0
Lord_Voldemort;Harry_Potter;United_States;Judaism;Israel;Dead_Sea,Dead_Sea_scrolls,Dead_Sea,Dead_Sea,0,0
Maiasaura;Ostrich;Ancient_Rome,Meningitis,Ancient_Rome,Ancient_Rome,0,0
Zionism;Mediterranean_Sea;Atlantic_Ocean;Dolphin;Mammal;Whale;United_States;Atlantic_Ocean;Pacific_Ocean;Africa,Tiger_shark,Africa,,0,-1
Honey_bee;Europe;Atlantic_Ocean;United_States,Ku_Klux_Klan,United_States,United_States,0,0
Market;Socialism;China;Mesopotamia;<;God;<;Roman_Empire;<;<;Capitalism;<;<;Capitalism;Europe;Earth,List_of_countries,Earth,Earth,0,0
Photosynthesis;Photon;Physics,PSR_B1620-26c,Physics,Physics,0,0
Computer;C%2B%2B;<;C%2B%2B,C++,C%2B%2B,C%2B%2B,0,0
Latvia;World_War_I;World_War_II;China;Taiwan;Bible;Vowel;Language;Human,C%2B%2B,Human,Human,0,0
Sea;Great_Lakes;Transport;Train;19th_century,Passenger_Pigeon,19th_century,19th_century,0,0
Brisbane;Time_zone;Baltic_Sea;North_Sea;Denmark;Copenhagen;Sweden;Stockholm,Bangladesh,Stockholm,Stockholm,0,0
Howland_Island;United_States;United_Kingdom;England;London;New_York_City,London_Zoo,New_York_City,London,0,1
Aruba;Caribbean_Sea;Christopher_Columbus;Jerusalem;Roman_Empire;Maghreb;Africa;Cotton;Ancient_Egypt,Slavery,Ancient_Egypt,,0,-1
History_of_the_Internet;Sweden,Yugoslavia,Sweden,Sweden,0,0
Zinc;France;United_Nations;United_States;Yellowstone_National_Park,Grand_Canyon,United_States,,1,-1
Edward_III_of_England;Europe;Middle_East;Fertile_Crescent;Climate,Rainforest,Europe,,3,-1
Theodore_Roosevelt;New_York_City;Mass_media;Literature;Novel,Lord_Voldemort,Novel,Novel,0,0
Pyramid;Mexico;Agriculture;Soybean;Protein,Bean,Protein,,0,-1
Obi-Wan_Kenobi;Star_Wars_Episode_IV__A_New_Hope;Film;Sound;Music;Jazz;New_York_City,Andrew_Carnegie,New_York_City,New_York_City,0,0
Musical_instrument;Piano;Italy;Mediterranean_Sea;Suez_Canal;Nile;River;Amazon_River,List_of_rivers_by_length,Amazon_River,,0,-1
Pyramid;United_States;Agriculture;Food;Famine;Agriculture;Egg_%28food%29,Bean,Egg_%28food%29,Egg_%28food%29,0,0
15th_century;North_America;South_America;<,Fidel_Castro,North_America,North_America,0,0
Marshall_Islands;Mexico;Brazil;Rio_de_Janeiro;Fishing,Common_Tern,Fishing,Fishing,0,0
Jane_Austen;England;Europe;Earth;United_States;Sport;Football_%28soccer%29;Football;Sphere,Tiger_Woods,Sphere,Sphere,0,0
Bologna;Football_%28soccer%29;Latin_America;United_States;Country;United_Kingdom,Goldfish,United_Kingdom,United_Kingdom,0,0
Battle_of_Hastings;England,Galileo_Galilei,England,England,0,0
Zimbabwe;Religion;Christianity,The_Origin_of_Species,Christianity,Christianity,0,0
Peter_I_of_Russia;Ottoman_Empire;Egypt,Buddhism,Egypt,Egypt,0,0
Pterosaur;Mammal;20th_century,The_Adventures_of_Tintin,20th_century,20th_century,0,0
Nationalism;Ethnic_group,Terrorism,Ethnic_group,Ethnic_group,0,0
Novel;England,Florida_East_Coast_Railway,England,England,0,0
Samoa;Pacific_Ocean;Great_Barrier_Reef;Humpback_Whale;Fish;Whale_shark;Shark;Zebra_shark;<,Nurse_sharks,Shark,Shark,0,0
Feather;Reptile;Sun;Solar_System;<;Solar_eclipse;Moon;Middle_Ages;Christianity;Bible,Vampire,Bible,Bible,0,0
B_vitamins;Vitamin;Water;Drinking_water;World_Health_Organization;<;Bacteria;Carbon_dioxide;Glass;Lead;Cider;Plum;Tree;Wood,Waste_management,Wood,Wood,0,0
Bluetooth;Computer;Automobile,Aesthetics,Automobile,Automobile,0,0
Cat%27s_Eye_Nebula;Oxygen;Plant;Animal;Mammal;Human;United_States_dollar,Tiger_Woods,United_States_dollar,United_States_dollar,0,0
Typewriter;Soviet_Union,Carrot,Soviet_Union,Soviet_Union,0,0
The_Supremes;United_Kingdom;British_Empire;Henry_VII_of_England,Norman_conquest_of_England,Henry_VII_of_England,United_Kingdom,0,2
Music_of_Spain;Guitar;Popular_culture;Television;<;The_Simpsons;<;<;Popular_culture;Culture;Mass_media;<;<;Television;Broadcasting;<;<;Television;Telecommunication;<;<;Film;<;The_Simpsons;Animation;<,Star_Trek__The_Original_Series,The_Simpsons,The_Simpsons,0,0
Nikola_Tesla;Alternating_current;<;English_language;United_Nations;<;United_Kingdom;Television;Advertising,Yes_Minister,Advertising,Advertising,0,0
Nouakchott;Atlantic_Ocean,Apollo_8,Atlantic_Ocean,Atlantic_Ocean,0,0
Theatre;United_States;Puerto_Rico;Spanish_language;Africa;Senegal;France;Maghreb;Sahara;Western_Sahara;Desert;Asia;Thailand,Zebra,Thailand,Thailand,0,0
Asteroid;Gas_giant;Granite;Water;Ice;Ice_hockey;Sport;Football;American_football;<;Middle_Ages;Dark_Ages;Popular_culture;Sport;Ireland;Stone_Age;Mammoth;Eskimo;Russia,Viking,Middle_Ages,,8,-1
Ecology;Oxygen;Water,Mount_Everest,Water,Water,0,0
Dog;Mammal;Lion;Cape_Lion;<;Turkey,Cat,Dog,,3,-1
Egyptian_pyramids;Archaeology,Asthma,Archaeology,Archaeology,0,0
Napoleonic_Wars;Great_Britain;United_Kingdom;British_Empire,Commonwealth_Games,British_Empire,,0,-1
Miles_Davis;World_War_II;Yugoslavia;Slovenia;Croatia;Serbia,Slovakia,Slovenia,,2,-1
NATO;United_Kingdom;European_Union;Republic_of_Ireland,Schizophrenia,Republic_of_Ireland,Republic_of_Ireland,0,0
Brain;Vertebrate;Eye;Brain,Telephone,Brain,Brain,0,0
Asteroid;Dinosaur;United_States;Holy_Roman_Empire;Italy;Roman_Empire,Viking,Roman_Empire,Roman_Empire,0,0
Christopher_Columbus;Atlantic_Ocean;Petroleum;Saudi_Arabia;Middle_East;Abu_Dhabi;United_Kingdom;Steel;United_States;Capitalism,Gas_giant,Capitalism,Capitalism,0,0
Roman_road;Danube;Ice_age;Minnesota;Bird_of_prey;Eagle;Bird;Chordate;Mammal;Animal;Reptile;Vertebrate;Fish;Chordate;Vertebrate;Silurian;Carboniferous;Reptile;New_Zealand;United_States;Minnesota,Chromatophore,Minnesota,,0,-1
Fiberglass;Silicon;Potassium;Caesium;Nuclear_power,Cancer,Caesium,Nuclear_power,1,0
David_Copperfield_%28novel%29;United_Kingdom;Church_of_Ireland;Republic_of_Ireland;Guitar;Popular_culture;Sport;Ireland,Tiger_Woods,Ireland,Ireland,0,0
Constantine_I;Society;History;Sub-Saharan_Africa;Ecology,Working_poor,Ecology,Ecology,0,0
Helen_Gandy;Washington%2C_D.C.;American_football;Football;Theodore_Roosevelt,Animal_rights,Theodore_Roosevelt,Theodore_Roosevelt,0,0
Atlantic_slave_trade;African_slave_trade;United_States;American_Civil_War;Southern_United_States;Slavery;Race;Ethnic_group;English_language,Tiger_Woods,English_language,English_language,0,0
Juice;New_Zealand;United_States;Florida;Miami%2C_Florida;Amtrak;Jimmy_Carter;Ronald_Reagan;20th_century;Cold_War,Mars_Reconnaissance_Orbiter,Cold_War,Cold_War,0,0
Fox;Folklore;Odin;Thor;Jupiter_%28mythology%29;Roman_mythology;Apollo;Pluto;Astrology;Venus;<;Astronomy;Telescope;Galileo_Galilei;Heliocentrism,Algol,Heliocentrism,Heliocentrism,0,0
Rudyard_Kipling;Singapore;Manufacturing;Political_economy;Adam_Smith;Economics;Socialism;Capitalism,Social_capital,Capitalism,,0,-1
Google;Internet;<,Psychology,Google,Google,0,0
Nazism;German_language;Florida;United_States;Pacific_Ocean,RMS_Titanic,Pacific_Ocean,Pacific_Ocean,0,0
Timken_1111;Pennsylvania_Railroad;New_York_City;China;God;India;Currency;Money;Finance;Business;Money;Currency,Working_poor,Currency,Currency,0,0
Rome;European_Union;Europe;Earth;Planet;Moon;Apollo_8;Apollo_11;Florida;United_States,Space_station,Moon,,4,-1
Omega-3_fatty_acid;Food;English_language;United_States;Sport;Football;Cricket;Melbourne;Sport;United_Kingdom;Damon_Hill,Tiger_Woods,Damon_Hill,Damon_Hill,0,0
Fishing;Sport;<,H.D.,Fishing,Fishing,0,0
Skiing;19th_century;Holy_Roman_Empire;Pope;Roman_Catholic_Church;Christianity;<;<;<;<;<,Trinity,Skiing,Skiing,0,0
Tasmanian_Devil;Australia;<,Bob_Marley,Tasmanian_Devil,Tasmanian_Devil,0,0
Deinonychus;Cretaceous;Calcium;Calcium_chloride;Chlorine,Gold%28III%29_chloride,Chlorine,Chlorine,0,0
Baghdad;World_War_I;World_War_II;The_Holocaust,Dakar,The_Holocaust,The_Holocaust,0,0
Computer_and_video_games;United_States;George_W._Bush;President_of_the_United_States,Election,President_of_the_United_States,President_of_the_United_States,0,0
Drum_and_bass;United_Kingdom;J._M._W._Turner;Impressionism,Abstract_art,J._M._W._Turner,,1,-1
Bat-eared_Fox;Insect;Bedbug;<;Beetle;Aphid;<;<;<,Invasion,Bat-eared_Fox,Bat-eared_Fox,0,0
House;Natural_disaster,Insect,Natural_disaster,Natural_disaster,0,0
Wave;Energy;Mechanical_work;<;Iceland;Europe;Byzantine_Empire;Western_Roman_Empire;Roman_Empire;Byzantine_Empire;Europe,Slavery,Europe,Europe,0,0
Spanish_Armada;North_Sea;Baltic_Sea;Atlantic_Ocean;Ocean;Fish;Whale_shark;Shark;Cookiecutter_shark;<;Zebra_shark;<;Zebra_shark;Aquarium,Nurse_sharks,Aquarium,Aquarium,0,0
Hunger;Animal;Insect;Spider;Jurassic;Cretaceous;Great_Britain;Europe;Dark_Ages,Medieval_literature,Dark_Ages,Dark_Ages,0,0
Irish_theatre;United_States;Canada,Canada_Goose,Canada,Canada,0,0
Prime_Minister_of_the_United_Kingdom;Scotland;Cattle,Fern,Cattle,Cattle,0,0
Sandy_Koufax;Beer;Apple;Fruit;Vegetable;Potato;Plant;<;Nutrition;Agriculture;Food;Cereal;Potato;<;<;<;<;<;Plant;<;<;<;<;<;<;Beer;Bread;<;Ethanol;Acetic_acid;<;Wine;<;<;Apple,Onion,Apple,Apple,0,0
Cider;19th_century,Trinity,19th_century,19th_century,0,0
Crimean_Karaites;Europe,Still_Game,Europe,Europe,0,0
Buenos_Aires;France;Latin;Latin_alphabet;Alphabet,Algorithm,Alphabet,Alphabet,0,0
Multiculturalism;Ethnic_group;People%27s_Republic_of_China;Market;Money;Barley;Oat;Plant;Potato,Onion,Potato,Potato,0,0
Bohrium;Chemical_element,Onion_dome,Chemical_element,Chemical_element,0,0
Love;Human;City;London;Tide;<;River_Thames;<;<,London_sewerage_system,City,City,0,0
Aardvark;Mammal;Vertebrate;<;Animal;<;Vertebrate;Human;Monaco,Afghan_Hound,Monaco,Monaco,0,0
Wayne_Rooney;Harry_Potter;J._K._Rowling;Employment;Business,Painting,Business,Business,0,0
Sassanid_Empire;Indian_Ocean;Australia;Platypus,Australian_Green_Tree_Frog,Platypus,Platypus,0,0
Moldova;Soviet_Union;Russian_Revolution_of_1917;Russia;Russian_language,History_of_Russia,Russian_Revolution_of_1917,,2,-1
Force;Archimedes;Renaissance;Europe;Earth;Life;Virus;Fossil;Evolution,Homo_floresiensis,Evolution,Evolution,0,0
Elizabeth_II_of_the_United_Kingdom;World_War_II;Soviet_Union,Aleksandr_Vasilevsky,Soviet_Union,Soviet_Union,0,0
Horn_of_Africa;Germany;Soviet_Union,History_of_post-Soviet_Russia,Soviet_Union,Soviet_Union,0,0
Nelson_Mandela;United_States_House_of_Representatives;Rhode_Island;Christianity,The_Simpsons,Christianity,Christianity,0,0
Asteroid;1_Ceres;Germany;Roman_Empire;Western_Roman_Empire,Viking,Western_Roman_Empire,Western_Roman_Empire,0,0
Theatre;Drama;Television;Telecommunication;Internet;World_Wide_Web;Switzerland;Conflict;War;Religion;Mysticism;<,Zebra,Religion,Religion,0,0
Hurricane_Andrew;Tropical_cyclone;Atlantic_Ocean;Europe;Norway;Viking,Odin,Viking,,0,-1
Albatross;France;Germany;Soviet_Union;Vladimir_Lenin;Marxism,Analytical_Marxism,Marxism,Marxism,0,0
Aphid;Agriculture;Sugar;Sugarcane,Citrus,Sugarcane,,0,-1
Nashville%2C_Tennessee;France;<;Germany;France,Riesling,France,France,0,0
Halloween;Great_Britain;Olympic_Games;People%27s_Republic_of_China;Hong_Kong;Beijing,Bangkok,Beijing,,0,-1
Oregano;Asia;Japan;Mario;Nintendo;People%27s_Republic_of_China,Sonic_the_Hedgehog_%28character%29,Mario,People%27s_Republic_of_China,2,0
Music;Jazz;Folk_music;<;<;Folk_music;Louis_Armstrong,Metal,Louis_Armstrong,Louis_Armstrong,0,0
Vitus_Bering;North_America;John_Cabot,21st_century,John_Cabot,John_Cabot,0,0
Art;Fine_art,United_States_Constitution,Fine_art,Fine_art,0,0
Sirius;Earth;<;Arabic_language;<;Sanskrit;<;Carl_Sagan;<;Sanskrit;<,Cambodia,Sirius,Sirius,0,0
North_Korea;United_States;Rocky_Mountains;<;Yellowstone_National_Park;<;<,Grand_Canyon,North_Korea,North_Korea,0,0
Pyramid;Mexico_City;Mexico;Salsa_music,Bean,Salsa_music,,0,-1
Vanilla;France;French_Revolution;Paris;Louis_XIV_of_France;Glorious_Revolution;<;List_of_French_monarchs;Napoleon_I_of_France,Joan_of_Arc,Napoleon_I_of_France,,0,-1
Pliocene;Elephant;India;Extinction,Tiger,Extinction,,0,-1
Dualism_%28philosophy_of_mind%29;Aristotle;Plato;Philosophy;Science;Technology;Engineering;Architecture;Art,Lucy%2C_Lady_Duff-Gordon,Art,Art,0,0
Leon_Trotsky;London;London_Underground;The_Blitz;London;London_Underground;Electricity,Coupling_%28railway%29,Electricity,Electricity,0,0
Pyramid;Earth,Bean,Earth,Earth,0,0
Donald_Bradman;Australia;Continent,William_Shakespeare,Continent,Continent,0,0
Nirvana_%28band%29;United_States;Country;Earth,Haiti,United_States,,2,-1
Togo;Lom%C3%A9;Ghana;Atlantic_Ocean,Hardball_squash,Atlantic_Ocean,Atlantic_Ocean,0,0
Winston_Churchill;Theodore_Roosevelt;New_York_City;United_States;Terrorism;September_11%2C_2001_attacks;Intelligence,W._Mark_Felt,Intelligence,Intelligence,0,0
Sumo;Alcohol;English_language;England;Nottingham,The_Cat_in_the_Hat,Nottingham,Nottingham,0,0
Apatosaurus;Reptile;Alligator;Yangtze_River;Ecology;Water;Fish;Organism;Pond;Europe;Middle_East,Red_Sea,Middle_East,,0,-1
Uranium;Periodic_table;Calcium,Calcite,Calcium,Calcium,0,0
George_W._Bush;Stem_cell;Cell_%28biology%29;Organism;Ecology;Cell_%28biology%29;Bacteria;Sub-Saharan_Africa;South_Africa;Africa;Temperate;North_America;South_America,Bee,Ecology,,8,-1
Brain;Vertebrate;Human;Communication;Linguistics;Language;Sound;Music;<;Music;Communication;Information;Computer_science;Computer_programming;Programming_language;Computer;Toy;Child;Law;Election;Business;Corporation;Cooperative;Business;Time,Telephone,Communication,,19,-1
Brain;Cell_%28biology%29,Telephone,Cell_%28biology%29,Cell_%28biology%29,0,0
North_Sea;Great_Britain;Isle_of_Man;Scotland;England;Tourism;Tennis;Davis_Cup;Fed_Cup,Button,Fed_Cup,Fed_Cup,0,0
Invertebrate;Mammal,Morecambe_Bay,Mammal,Mammal,0,0
Heat;Hippocrates;Middle_Ages;Egypt,Attila_the_Hun,Egypt,Egypt,0,0
Aberystwyth;Wales;Roman_Empire;Rome;Ancient_Rome;Ancient_Greece;Hellenistic_Greece;History_of_Greece;Greek_mythology;Apollo;Zeus;Jupiter_%28mythology%29;Roman_mythology,Saturn,Roman_mythology,,0,-1
Cockatiel;Europe;Zeus;Jupiter_%28mythology%29;<;<,Ceres_%28dwarf_planet%29,Europe,Europe,0,0
Otter;Mammal;Australia;People%27s_Republic_of_China;Japan;Animation;The_Lion_King,Pikachu,The_Lion_King,The_Lion_King,0,0
Communication;Information;Physics;Universe;History,Space_Shuttle_program,History,History,0,0
Waheguru;God;United_States;Bald_Eagle;Bird;Human;Uganda;United_Kingdom,Nightingale,United_Kingdom,,0,-1
Brain;Mind,Telephone,Mind,Mind,0,0
Theatre;Brazil;Rio_de_Janeiro;Africa;Giraffe;South_Africa,Zebra,South_Africa,,0,-1
Wikinews;Wikipedia;DVD,Darth_Vader,DVD,DVD,0,0
Markup_language;TeX,Calvin_and_Hobbes,TeX,TeX,0,0
Pyramid;Mesopotamia;<;Mexico;Salsa_music;<;Latin_America,Bean,Latin_America,,0,-1
Technetium;California;First_Transcontinental_Railroad;United_States;Florida;Atlantic_Ocean,Florida_East_Coast_Railway,Atlantic_Ocean,,0,-1
Brain;Eye,Telephone,Eye,Eye,0,0
Henipavirus;Human;Civilization;Archaeology;Peru;<;Evolution;<;Geology;Plate_tectonics;Astronomy;Extraterrestrial_life;Universe;<;Planetary_habitability,The_X-Files,Planetary_habitability,Planetary_habitability,0,0
Detroit%2C_Michigan;French_language,I_Want_to_Hold_Your_Hand,French_language,French_language,0,0
War;Religion;Mythology;Roman_mythology,Mercury_%28planet%29,Roman_mythology,Roman_mythology,0,0
George_H._W._Bush;South_America;Colombia,Weed,Colombia,Colombia,0,0
Las_Vegas%2C_Nevada;Spanish_language;United_Nations;World_Health_Organization;Geneva;<;Switzerland;United_Nations;<;<;Geneva;<;Geneva;<;<;<,International_Red_Cross_and_Red_Crescent_Movement,Spanish_language,Spanish_language,0,0
Biology;Human;English_language;Republic_of_Ireland;European_Union,Wales,English_language,,2,-1
Opera;Richard_Wagner;Revolution;Culture;Law;United_Kingdom;Parliament_of_the_United_Kingdom;Suffrage,Wood_Pigeon,Suffrage,Suffrage,0,0
Axe;Viking;<;Germany;Soviet_Union;Cold_War;<;United_States;Apollo_11,Space_Invaders,Apollo_11,Apollo_11,0,0
Attalus_I;Zeus;Religion;Universe,Star_Wars,Universe,Universe,0,0
Shenzhou_6;South_America,Isaac_Brock,South_America,South_America,0,0
Kangaroo;James_Cook;England;James_I_of_England;Elizabeth_I_of_England;House_of_Lords;Privy_Council_of_the_United_Kingdom;British_monarchy;Elizabeth_II_of_the_United_Kingdom;George_VI_of_the_United_Kingdom;Radio;Television,House,Television,Television,0,0
Firearm;Leonardo_da_Vinci;Anatomy;Biology;Organism;Genetics;<;<;Genetics;<;Natural_selection;<;Evolution;<;<;Biology;Fungus;<;Fern,Alternation_of_generations,Fern,,0,-1
Isaac;Jew;<;Jew;<;Judaism;<;Egypt;Agriculture;Vegetable;<;Potato;<;Sugar;Beet;Carrot,Onion,Carrot,Carrot,0,0
Henipavirus;Human;Government;<;Economics,Karl_Marx,Economics,,0,-1
Space_Shuttle_Challenger_disaster;Senegal;<;Dakar;Market;<;<;Houston%2C_Texas;Southern_United_States;Florida,Fruit,Florida,Florida,0,0
Wolfgang_Amadeus_Mozart;Holy_Roman_Empire;Western_Roman_Empire;Rome;Ancient_Rome;Gravitation,Hydrology,Gravitation,Gravitation,0,0
Theatre;Actor;Film;Art;<,Zebra,Film,Film,0,0
James_Joyce;English_language;England;Europe,Anne_Frank,Europe,Europe,0,0
Asteroid;Solar_System;<,Viking,Asteroid,Asteroid,0,0
Brain;Computer_science,Telephone,Computer_science,Computer_science,0,0
Poetry;Allegory_in_the_Middle_Ages;<;Allegory_in_the_Middle_Ages;Medieval_literature;<;Middle_Ages;Western_Roman_Empire,Weapon,Western_Roman_Empire,Western_Roman_Empire,0,0
Platypus;South_America;Spain;Christopher_Columbus,Chocolate,Christopher_Columbus,Christopher_Columbus,0,0
Panama;Panama_Canal;<,Isaac,Panama,Panama,0,0
Emu;Cassowary,Mercia,Cassowary,Cassowary,0,0
Chinese_language;20th_century;19th_century;Europe,Gold,Europe,Europe,0,0
Nature;Galaxy;Plasma_%28physics%29;J._J._Thomson,NATO,J._J._Thomson,J._J._Thomson,0,0
Australian_Open;Melbourne;Australia;Continent;<;New_Zealand;<,Chew_Valley,Australia,Australia,0,0
Arctic_Ocean;Arctic;<;Atlantic_Ocean;<;Earth;Crust_%28geology%29,Fluorine,Crust_%28geology%29,Crust_%28geology%29,0,0
Asteroid;Solar_System;Planet;Earth;Life;Animal;Human;Society;<;Culture;Europe;Romania;NATO,Viking,NATO,,0,-1
Looney_Tunes;Basketball,Civil_rights,Basketball,Basketball,0,0
Tim_Berners-Lee;England;History_of_Anglo-Saxon_England;Dark_Ages;14th_century;13th_century;12th_century;11th_century;10th_century;Dark_Ages;Popular_culture;Time,Medieval_music,History_of_Anglo-Saxon_England,,9,-1
Volcano;Sulfuric_acid;Alchemy;History_of_science;Capitalism;Economics,Social_capital,Economics,Economics,0,0
Edward_III_of_England;Windsor_Castle;Black_Death;Bacteria;Nitrogen_fixation;Ammonia;<,Lithium_aluminium_hydride,Nitrogen_fixation,Nitrogen_fixation,0,0
Theatre;India;Africa;Botswana,Zebra,Botswana,Botswana,0,0
Jordan_River;Israel;United_States;Canada,Celine_Dion,Canada,Canada,0,0
18th_century;France;Belgium;Rwanda;Democratic_Republic_of_the_Congo;Mineral,Cobalt,Mineral,,0,-1
Cotton;United_States;Middle_East;Pakistan,Economy_of_Pakistan,Pakistan,,0,-1
Goose;Sanskrit,Henry_H._Rogers,Sanskrit,Sanskrit,0,0
Radio_frequency;Bluetooth;<;Alternating_current,Nintendo_Entertainment_System,Alternating_current,Alternating_current,0,0
Microsoft_Windows;Macintosh,Spanish_conquest_of_the_Inca_Empire,Macintosh,Macintosh,0,0
David_Cameron;Politics_of_the_United_Kingdom;United_Kingdom;World_War_I;World_War_II;Egypt;North_Africa;Sudan;Chad;Darfur_conflict,Chadian-Sudanese_conflict,Darfur_conflict,Darfur_conflict,0,0
Book;China;Indus_Valley_Civilization;<;<;20th_century;Soviet_Union;<;World_War_I;Sarajevo;<;<;<;Middle_Ages;<;Andrew_Carnegie;<;19th_century;Athens;1896_Summer_Olympics;Olympic_Games,Chess,Olympic_Games,Olympic_Games,0,0
Democratic_Republic_of_the_Congo;Italy,Virgil,Italy,,0,-1
Citizenship;Nelson_Mandela;Jew;Ancient_Egypt;Engineering;Science;Technology;Computer_science;Computer_programming;Microsoft_Windows;Spyware;Compact_Disc;Manufacturing;Radio,Three_Laws_of_Robotics,Radio,Radio,0,0
Asteroid;Trojan_War,Viking,Trojan_War,Trojan_War,0,0
Arnold_Schwarzenegger;United_States;China;Ming_Dynasty,Zhang_Qian,Ming_Dynasty,Ming_Dynasty,0,0
Cyprus;United_Nations;United_States;Sport;<;Tennis;U.S._Open_%28tennis%29,Tiger_Woods,U.S._Open_%28tennis%29,U.S._Open_%28tennis%29,0,0
Mercia;Wales;Irish_Sea;Atlantic_Ocean;Tide;<;<;<,Hydrology,Wales,Wales,0,0
Lavender;Scientific_classification,Nash_equilibrium,Scientific_classification,Scientific_classification,0,0
Maize;Africa;Lion,The_Lion_King,Lion,,0,-1
James_Cook;California;Los_Angeles%2C_California,Firefly_%28TV_series%29,Los_Angeles%2C_California,Los_Angeles%2C_California,0,0
Brass_instrument;Corrosion;Water;Aquarium;<;Hydrogen;Hydrochloric_acid;Sodium_hydroxide;Drinking_water;Desert;Snow,Hydrology,Snow,,0,-1
Brain;Computer_science;Internet;World_Wide_Web,Telephone,World_Wide_Web,,0,-1
The_Hobbit;Norse_mythology;13th_century;Islam,Allegory_in_the_Middle_Ages,Islam,Islam,0,0
Humanism;Mysticism;Astrology;Astronomy;Star;<;Extrasolar_planet,55_Cancri_c,Extrasolar_planet,Extrasolar_planet,0,0
Button;Ivory;Orca;Fish;Chordate;<;Chordate;<;Vertebrate;<;<;Shark;Zebra_shark;<;Whale_shark;<;Great_white_shark;Pelagic_zone;<;<;Angel_shark;Crustacean;<;<,Nurse_sharks,Shark,Shark,0,0
Btrieve;Microsoft_Windows;<;Windows_XP;Asia;Himalayas;Yeti;Ape;Mammal;<;<;<;Genghis_Khan;<;Bay_of_Bengal;<;<;Toy;Mammal;Vertebrate;<;<;Monkey;Ape;<;<;Animal;Mammal;Scientific_classification;Binomial_nomenclature;<;<;<;<;Child;<;Jump_rope,Dog,Jump_rope,Jump_rope,0,0
Prime_Minister_of_the_United_Kingdom;Margaret_Thatcher;<;United_Kingdom;Computer;Computer_and_video_games,Pac-Man,Computer_and_video_games,Computer_and_video_games,0,0
Charles_I_of_England;Australia;Continent;Antarctica,Roald_Amundsen,Antarctica,,0,-1
Ant;Australia;England;Football_%28soccer%29;<,Norwich,England,,0,-1
Wave%E2%80%93particle_duality;Quantum_mechanics;<,Rabindranath_Tagore,Wave%E2%80%93particle_duality,Wave%E2%80%93particle_duality,0,0
Bear;German_language;<,Music_of_Italy,Bear,Bear,0,0
Arthur_Sullivan;Pneumonia;Bacteria;Biotechnology;Biology,Chromatophore,Biology,Biology,0,0
GNU;Richard_Stallman;Franklin_D._Roosevelt;President_of_the_United_States;United_States;Apollo_11;Moon;<;Apollo_8;Cape_Canaveral,Space_Shuttle_program,Cape_Canaveral,,0,-1
Psychology;Educational_psychology;Human;Africa,Greenhouse_effect,Africa,Africa,0,0
Eukaryote;Organism;Human;Asia,Mao_Zedong,Asia,Asia,0,0
Gas;Dutch_language;English_language;England,Hadrian%27s_Wall,England,,0,-1
Thomas_Malthus;War;World_War_II;The_Blitz;London;River_Thames;Congo_River;River;Flood;Nile;Lake_Albert;Uganda;United_Kingdom;Scotland;Edinburgh;Bog,Dam,Bog,,0,-1
Hasekura_Tsunenaga;Europe;France,Tour_de_France,France,,0,-1
Monoclonius;Asia;Russia;Soviet_Union,Frederick_II_of_Prussia,Soviet_Union,Soviet_Union,0,0
Sean_Connery;Scotland;Cattle;Carolus_Linnaeus;Botany;Animal;Mammal;Platypus;Rabbit,Vole,Rabbit,,0,-1
Theatre;United_Kingdom;British_Empire;Slavery;Africa,Zebra,Africa,Africa,0,0
Scent_of_a_Woman;English_language;Internet;Information;Computer_science;Abacus;China;Civilization;Society;Culture,Calculus,Culture,Culture,0,0
Mustard_seed;Sugar;Crystal;Glass;<;Atom;Electric_charge;Electric_field,Microsoft,Electric_field,Electric_field,0,0
Bay_of_Bengal;Indian_Ocean;Ocean;Ship;Boat,Darling_River,Boat,Boat,0,0
Winfield_Scott_Hancock;Florida;Gulf_of_Mexico;Atlantic_Ocean;Cod;Chordate,Tuna,Chordate,,0,-1
Dune;Geography;Anthropology;Pacific_Ocean,Samoa,Pacific_Ocean,,0,-1
